21-11-2024 15:02:02 | get_statistics | INFO | Successfully fetched statistics.
21-11-2024 15:03:02 | get_statistics | INFO | Fetching statistics for active configurations.
21-11-2024 15:03:02 | get_statistics | INFO | Processing configuration: MEXC_KAS_BIG_DOWN_1m
21-11-2024 15:03:02 | get_statistics | WARNING | No data found in log file for MEXC_KAS_BIG_DOWN_1m.
21-11-2024 15:03:02 | get_statistics | INFO | Accumulated total profit: 0.0
21-11-2024 15:03:02 | get_statistics | INFO | Processing configuration: MEXC_KAS_BIG_DOWN_5m
21-11-2024 15:03:02 | get_statistics | WARNING | No data found in log file for MEXC_KAS_BIG_DOWN_5m.
21-11-2024 15:03:02 | get_statistics | INFO | Accumulated total profit: 0.0
21-11-2024 15:03:02 | get_statistics | INFO | Successfully fetched statistics.
21-11-2024 15:04:02 | get_statistics | INFO | Fetching statistics for active configurations.
21-11-2024 15:04:02 | get_statistics | INFO | Processing configuration: MEXC_KAS_BIG_DOWN_1m
21-11-2024 15:04:02 | get_statistics | WARNING | No data found in log file for MEXC_KAS_BIG_DOWN_1m.
21-11-2024 15:04:02 | get_statistics | INFO | Accumulated total profit: 0.0
21-11-2024 15:04:02 | get_statistics | INFO | Processing configuration: MEXC_KAS_BIG_DOWN_5m
21-11-2024 15:04:02 | get_statistics | WARNING | No data found in log file for MEXC_KAS_BIG_DOWN_5m.
21-11-2024 15:04:02 | get_statistics | INFO | Accumulated total profit: 0.0
21-11-2024 15:04:02 | get_statistics | INFO | Successfully fetched statistics.
21-11-2024 15:05:02 | get_statistics | INFO | Fetching statistics for active configurations.
21-11-2024 15:05:02 | get_statistics | INFO | Processing configuration: MEXC_KAS_BIG_DOWN_1m
21-11-2024 15:05:02 | get_statistics | WARNING | No data found in log file for MEXC_KAS_BIG_DOWN_1m.
21-11-2024 15:05:02 | get_statistics | INFO | Accumulated total profit: 0.0
21-11-2024 15:05:02 | get_statistics | INFO | Processing configuration: MEXC_KAS_BIG_DOWN_5m
21-11-2024 15:05:02 | get_statistics | WARNING | No data found in log file for MEXC_KAS_BIG_DOWN_5m.
21-11-2024 15:05:02 | get_statistics | INFO | Accumulated total profit: 0.0
21-11-2024 15:05:02 | get_statistics | INFO | Successfully fetched statistics.
21-11-2024 15:06:02 | get_statistics | INFO | Fetching statistics for active configurations.
21-11-2024 15:06:02 | get_statistics | INFO | Processing configuration: MEXC_KAS_BIG_DOWN_1m
21-11-2024 15:06:02 | get_statistics | WARNING | No data found in log file for MEXC_KAS_BIG_DOWN_1m.
21-11-2024 15:06:02 | get_statistics | INFO | Accumulated total profit: 0.0
21-11-2024 15:06:02 | get_statistics | INFO | Processing configuration: MEXC_KAS_BIG_DOWN_5m
21-11-2024 15:06:02 | get_statistics | WARNING | No data found in log file for MEXC_KAS_BIG_DOWN_5m.
21-11-2024 15:06:02 | get_statistics | INFO | Accumulated total profit: 0.0
21-11-2024 15:06:02 | get_statistics | INFO | Successfully fetched statistics.
21-11-2024 15:07:02 | get_statistics | INFO | Fetching statistics for active configurations.
