21-11-2024 15:33:05 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 15:33:05 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:33:05 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 15:33:05 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:34:05 | EASY_Big_down_loop | INFO | На состояние 15:34:05 активных ставок: 0, денег: 51.001$
21-11-2024 15:34:05 | EASY_Big_down_loop | INFO | На состояние 15:34:05 активных ставок: 0, денег: 51.001$
21-11-2024 15:34:06 | EASY_Big_down_loop | INFO | Price change detected: 0.4664277657866478%
21-11-2024 15:34:06 | EASY_Big_down_loop | INFO | Price change detected: 0.4664277657866478%
21-11-2024 15:34:06 | EASY_Big_down_loop | INFO | Market buy order placed, ID: C02__488259812732264448038
21-11-2024 15:34:06 | EASY_Big_down_loop | INFO | Market buy order placed, ID: C02__488259813214609408038
21-11-2024 15:34:10 | EASY_Big_down_loop | INFO | Bought KAS: 10.96
21-11-2024 15:34:10 | EASY_Big_down_loop | INFO | Bought KAS: 10.96
21-11-2024 15:34:11 | EASY_Big_down_loop | INFO | Limit sell order placed, ID: C02__488259832097370114038
21-11-2024 15:34:11 | EASY_Big_down_loop | INFO | Limit sell order placed, ID: C02__488259832495792128038
21-11-2024 15:34:12 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:34:12 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:35:05 | EASY_Big_down_loop | INFO | На состояние 15:35:05 активных ставок: 1, денег: 51.001$
21-11-2024 15:35:05 | EASY_Big_down_loop | INFO | На состояние 15:35:05 активных ставок: 1, денег: 51.001$
21-11-2024 15:35:05 | EASY_Big_down_loop | INFO | Price change detected: 0.3517895471304655%
21-11-2024 15:35:05 | EASY_Big_down_loop | INFO | Price change detected: 0.3517895471304655%
21-11-2024 15:35:06 | EASY_Big_down_loop | INFO | Market buy order placed, ID: C02__488260062360432642038
21-11-2024 15:35:06 | EASY_Big_down_loop | INFO | Market buy order placed, ID: C02__488260062746341414038
21-11-2024 15:35:10 | EASY_Big_down_loop | INFO | Bought KAS: 11.0
21-11-2024 15:35:10 | EASY_Big_down_loop | INFO | Bought KAS: 11.0
21-11-2024 15:35:10 | EASY_Big_down_loop | INFO | Limit sell order placed, ID: C02__488260081566183424038
21-11-2024 15:35:10 | EASY_Big_down_loop | INFO | Limit sell order placed, ID: C02__488260081939472384038
21-11-2024 15:35:12 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:35:12 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:36:05 | EASY_Big_down_loop | INFO | На состояние 15:36:05 активных ставок: 2, денег: 51.001$
21-11-2024 15:36:05 | EASY_Big_down_loop | INFO | На состояние 15:36:05 активных ставок: 2, денег: 51.001$
21-11-2024 15:36:07 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:36:07 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:37:05 | EASY_Big_down_loop | INFO | На состояние 15:37:05 активных ставок: 2, денег: 51.001$
21-11-2024 15:37:05 | EASY_Big_down_loop | INFO | На состояние 15:37:05 активных ставок: 2, денег: 51.001$
21-11-2024 15:37:07 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:37:07 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:38:05 | EASY_Big_down_loop | INFO | На состояние 15:38:05 активных ставок: 2, денег: 51.001$
21-11-2024 15:38:05 | EASY_Big_down_loop | INFO | На состояние 15:38:05 активных ставок: 2, денег: 51.001$
21-11-2024 15:38:05 | EASY_Big_down_loop | INFO | Price change detected: 0.1603859825991094%
21-11-2024 15:38:05 | EASY_Big_down_loop | INFO | Price change detected: 0.1603859825991094%
21-11-2024 15:38:06 | EASY_Big_down_loop | INFO | Market buy order placed, ID: C02__488260817305792518038
21-11-2024 15:38:06 | EASY_Big_down_loop | INFO | Market buy order placed, ID: C02__488260820078260224038
21-11-2024 15:38:10 | EASY_Big_down_loop | INFO | Bought KAS: 11.0
21-11-2024 15:38:10 | EASY_Big_down_loop | INFO | Limit sell order placed, ID: C02__488260835483942912038
21-11-2024 15:38:10 | EASY_Big_down_loop | INFO | Bought KAS: 11.0
21-11-2024 15:38:11 | EASY_Big_down_loop | INFO | Limit sell order placed, ID: C02__488260838101172228038
21-11-2024 15:38:12 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:38:13 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:39:05 | EASY_Big_down_loop | INFO | На состояние 15:39:05 активных ставок: 3, денег: 51.001$
21-11-2024 15:39:05 | EASY_Big_down_loop | INFO | На состояние 15:39:05 активных ставок: 3, денег: 51.001$
21-11-2024 15:39:08 | EASY_Big_down_loop | INFO | Success! Got 0.0008970000000001477usdt intrade C02__488260838101172228038
21-11-2024 15:39:08 | EASY_Big_down_loop | INFO | Bet C02__488260820078260224038 completed and removed.
21-11-2024 15:39:08 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:39:08 | EASY_Big_down_loop | INFO | Success! Got 0.0008970000000001477usdt intrade C02__488260835483942912038
21-11-2024 15:39:08 | EASY_Big_down_loop | INFO | Bet C02__488260817305792518038 completed and removed.
21-11-2024 15:39:08 | EASY_Big_down_loop | INFO | Starting iteration
